Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Armoire cabinet 120*40200walnut gre (armoire);244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/001;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Bureau partition 124*122*105 kldi (2seat);244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/002;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Table noir Office table 120*60*75*CL Ref kt ;244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/003;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Table noir Office table 120*60*75*CL Ref kt ;244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/004;;;;;;;;;;;;;;;;;;;;;
Ordinateur portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU SECRETAIRE DG;TA/244200/2023/0002/005;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU SECRETAIRE DG;TA/244200/2023/0002/006;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU SECRETAIRE DG;TA/244200/2023/0002/007;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK black RE (T50);244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/008;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK black RE (T50);244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/009;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK black RE (T50);244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/010;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK black RE (T50);244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/011;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK black RE (T50);244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/012;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil avec Roulettes (2CL=3AC)(T26) black and Brown;244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/013;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil avec Roulettes (2CL=3AC)(T26) black and Brown;244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/014;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil avec Roulettes (2CL=3AC)(T26) black and Brown;244400;MOBILIER DE BUREAU ;BUREAU DU SECRETAIRE DG;TA/244400/2023/0002/015;;;;;;;;;;;;;;;;;;;;;
Imprimante hp avec Wifi;244200;MATERIEL INFORMATIQUE ;BUREAU DU SECRETAIRE DG;TA/244200/2023/0002/016;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Imprimante hp avec Wifi;244200;MATERIEL INFORMATIQUE ;BUREAU DU SECRETAIRE DG;TA/244200/2023/0002/017;;;;; 	3,00 ;;;;;;;;;;;;;;;;